year,coal_without_ccs_floor_gw,coal_with_ccs_floor_gw,gas_without_ccs_floor_gw,gas_with_ccs_floor_gw,bio_and_beccs_floor_gw,thermal_excluding_nuclear_floor_gw,nuclear_floor_gw,nuclear_upper_gw,battery_floor_gw,phs_floor_gw,phs_upper_gw,policy_nuclear_2030_gw,policy_phs_2030_gw,policy_new_storage_2030_gw
2025,1227.166800,11.855000,179.028040,0.700000,35.491000,1454.240840,60.898000,,,,,,,
2030,1213.271800,11.855000,179.028040,0.700000,35.491000,1440.345840,106.764000,110.000000,65.850000,65.940000,249.191000,110.000000,160.000000,300.000000
2040,1129.196000,11.855000,177.717040,0.700000,35.491000,1354.959040,146.308000,205.000000,0.000000,65.940000,514.755000,,,
2050,694.064800,5.000000,147.448140,0.700000,33.916500,881.129440,185.812000,300.000000,0.000000,65.940000,514.755000,,,
2060,214.017000,4.000000,77.586640,0.000000,15.054000,310.657640,185.812000,300.000000,0.000000,65.940000,514.755000,,,
