fuel,province_count,missing_province_count,active_min_yuan_per_gj,active_median_yuan_per_gj,active_max_yuan_per_gj,active_usd_to_cny,official_2025_average_usd_to_cny,fx_only_comparator_factor,source_price_year,temporal_method,2025_price_normalization_status
coal,29,2,16.56000000,38.01900000,47.81700000,6.90000000,7.14290000,1.03520290,2023 inferred provincial level,hold constant from 2025 through 2060 because no price trajectory was provided,ACTIVE_VALUE_RETAINED; FINAL_CANDIDATE_USES_PUBLISHED_USD_PER_GJ_X_7.1429_CNY_PER_USD
gas,31,0,46.98900000,67.41300000,73.00200000,6.90000000,7.14290000,1.03520290,2018 benchmark gate-station price plus 0.8 CNY/m3,hold constant from 2025 through 2060 because no price trajectory was provided,ACTIVE_VALUE_RETAINED; FINAL_CANDIDATE_USES_PUBLISHED_USD_PER_GJ_X_7.1429_CNY_PER_USD
biomass,31,0,30.98100000,33.25800000,37.32900000,6.90000000,7.14290000,1.03520290,Yuan et al. (2022) ex-factory price,hold constant from 2025 through 2060 because no price trajectory was provided,ACTIVE_VALUE_RETAINED; FINAL_CANDIDATE_USES_PUBLISHED_USD_PER_GJ_X_7.1429_CNY_PER_USD
