province_code,center_count,edge_count,peak_demand_gw,spatial_renewable_nameplate_gw,allocated_conventional_peak_proxy_gw,external_export_peak_proxy_gw,initial_intra_capacity_sum_gw,maximum_balance_residual_gw
11,1,0,27.87745539894237,2.4480901759999996,25.42936522294237,0.0,0.0,0.0
12,1,0,19.03295833146737,11.330288250999999,7.702670080467371,0.0,0.0,0.0
13,11,20,75.64606309363575,113.41654264699999,0.0,37.77047955336424,69.92741697917673,4.440892098500626e-15
14,11,20,37.58195590551248,82.16767751600001,0.0,44.58572161048753,7.260122993703291,0.0
15,12,23,55.910524787784006,199.294099153,0.0,143.383574365216,6.409036240986557,0.0
21,14,28,37.37244180559505,32.766127689,4.606314116595051,0.0,18.735335291378405,2.0872192862952943e-14
22,9,19,14.125656275665298,27.984332078999998,0.0,13.8586758033347,6.240902767711673,2.220446049250313e-16
23,13,24,16.679822659254064,26.142097249,0.0,9.462274589745935,3.778571562826587,1.1102230246251565e-16
31,1,0,40.579664375965976,4.088537415999999,36.491126959965975,0.0,0.0,0.0
32,13,26,132.76089106479014,89.651479341,43.109411723790146,0.0,92.87259395535432,4.707345624410664e-14
33,11,22,121.60128924901792,52.83133262999999,68.76995661901793,0.0,18.6469134553371,2.3092638912203256e-14
34,16,28,52.0496987542429,55.959704493,0.0,3.9100057387571,18.572946822406628,2.220446049250313e-16
35,9,16,55.09249599613524,24.82584832,30.266647676135243,0.0,8.262046412129093,3.1086244689504383e-15
36,11,22,35.83263020883509,36.689389643000005,0.0,0.8567594341649141,9.597588685099975,0.0
37,16,31,142.79665428115456,111.593699793,31.20295448815456,0.0,81.12120192419826,5.240252676230739e-14
41,17,34,80.84635375023079,67.786008879,13.060344871230797,0.0,29.938715334260205,5.1514348342607263e-14
42,13,26,50.449651568807525,92.658714277,0.0,42.20906270819248,12.707877647265821,8.881784197001252e-16
43,14,26,45.34177165402745,46.287986045,0.0,0.9462143909725498,23.118015499820288,4.440892098500626e-16
44,21,40,157.80594416326028,71.444648869,86.36129529426027,0.0,101.17176852924874,7.283063041541027e-14
45,14,26,34.524800233409664,57.870564320999996,0.0,23.345764087590332,1.9206732311736472,0.0
46,4,6,7.031666833051857,10.618296320999999,0.0,3.5866294879481417,0.061224626082324325,0.0
50,1,0,34.35111979386504,11.173132447,23.177987346865038,0.0,0.0,0.0
51,21,42,68.54698938744008,120.710728725,0.0,52.16373933755992,91.8386552118539,1.7763568394002505e-15
52,9,17,29.74913681151743,59.730702307,0.0,29.98156549548257,0.5049167876732534,0.0
53,16,31,34.42968911276469,147.787945923,0.0,113.3582568102353,0.0,0.0
54,7,14,1.5787532967050513,19.662226575000002,0.0,18.08347327829495,0.3952574501338009,0.0
61,10,20,37.006157457693575,63.972172394,0.0,26.966014936306422,36.71035597061123,2.220446049250313e-15
62,14,29,24.43389117963581,104.246855514,0.0,79.8129643343642,2.880873559298398,0.0
63,8,17,13.82680545650522,96.486741327,0.0,82.65993587049479,5.013100964330554,0.0
64,5,9,15.431360480358329,63.134081742999996,0.0,47.70272126264167,0.15398170585179427,0.0
65,14,26,52.26352612163676,233.12944790099996,0.0,180.8659217793632,0.0,0.0
