load_center_id,province_code,province_name_en,province_name_zh,city_name_zh,source_city_code,lon,lat,annual_demand_share_in_province,annual_city_power_mwh,electricity_weight_method,center_method,load_center_method,demand_share_source,scenario_status,annual_city_power_share_in_province,monthly_weight_mean,city_area_km2,county_count,urban_population,total_population,electricity_weight_year,population_source_note,substation_count_220kv_plus,voltage_weighted_substation_units,maximum_substation_voltage_kv,substations_per_10000_km2,voltage_weighted_units_per_10000_km2,substation_count_share_in_province,voltage_weight_share_in_province,substation_density_role
LC_156130900,13,Hebei,河北,沧州,156130900,116.66443911504082,38.3089744793702,0.0887567029261631,412.2746882039554,observed_2022_city_table,urban_population_weighted_county_centroids,city_337_urban_population_weighted_centroid,2022_city_electricity; 296_observed_41_imputed_by_province_power_per_urban_population,production_default_city_337,0.0887567029261631,0.0887433239836321,14182.502876025314,16,3549493.0,7101171.0,2022,county urban population field; source year follows local population shapefile metadata,54.0,63.909090909090914,1000.0,38.075084822499015,45.06192698689698,0.147945205479452,0.1373851866327926,validation_and_sensitivity_only_not_primary_load_weight
LC_156131000,13,Hebei,河北,廊坊,156131000,116.71117646881945,39.44841046832956,0.0698040245360965,324.2395391246257,observed_2022_city_table,urban_population_weighted_county_centroids,city_337_urban_population_weighted_centroid,2022_city_electricity; 296_observed_41_imputed_by_province_power_per_urban_population,production_default_city_337,0.0698040245360965,0.0698081629246809,6384.186704893407,10,3425055.0,5335120.0,2022,county urban population field; source year follows local population shapefile metadata,112.0,135.9090909090909,1000.0,175.43346580724725,212.8839540436969,0.3068493150684931,0.2921633769786984,validation_and_sensitivity_only_not_primary_load_weight
LC_156131100,13,Hebei,河北,衡水,156131100,115.77631532458192,37.75562330370052,0.0401880468769227,186.6733885945791,observed_2022_city_table,urban_population_weighted_county_centroids,city_337_urban_population_weighted_centroid,2022_city_electricity; 296_observed_41_imputed_by_province_power_per_urban_population,production_default_city_337,0.0401880468769227,0.040139978257426,8862.100285875895,11,2128672.0,3988431.0,2022,county urban population field; source year follows local population shapefile metadata,0.0,0.0,0.0,0.0,0.0,0.0,0.0,validation_and_sensitivity_only_not_primary_load_weight
LC_156140100,14,Shanxi,山西,太原,156140100,112.50351285519928,37.84210700621036,0.0599552595824843,303.821255146605,observed_2022_city_table,urban_population_weighted_county_centroids,city_337_urban_population_weighted_centroid,2022_city_electricity; 296_observed_41_imputed_by_province_power_per_urban_population,production_default_city_337,0.0599552595824843,0.0600168781917531,6902.982723351115,10,4464831.0,5045235.0,2022,county urban population field; source year follows local population shapefile metadata,2.0,4.545454545454546,500.0,2.8972982841670536,6.584768827652394,0.017094017094017,0.0264690312334568,validation_and_sensitivity_only_not_primary_load_weight
LC_156140200,14,Shanxi,山西,大同,156140200,113.36667030835056,40.0379046454114,0.5312286721025848,2691.983373135513,observed_2022_city_table,urban_population_weighted_county_centroids,city_337_urban_population_weighted_centroid,2022_city_electricity; 296_observed_41_imputed_by_province_power_per_urban_population,production_default_city_337,0.5312286721025848,0.531585430351135,14075.247612828549,10,2240722.0,3088782.0,2022,county urban population field; source year follows local population shapefile metadata,16.0,22.363636363636363,500.0,11.367473198423294,15.88862731143256,0.1367521367521367,0.1302276336686077,validation_and_sensitivity_only_not_primary_load_weight
LC_156140300,14,Shanxi,山西,阳泉,156140300,113.55512260207196,37.92599603118112,0.0275627447126785,139.67327891176237,observed_2022_city_table,urban_population_weighted_county_centroids,city_337_urban_population_weighted_centroid,2022_city_electricity; 296_observed_41_imputed_by_province_power_per_urban_population,production_default_city_337,0.0275627447126785,0.0275000480420706,4572.09691959174,5,939172.0,1318505.0,2022,county urban population field; source year follows local population shapefile metadata,1.0,2.272727272727273,500.0,2.187180231711479,4.970864162980634,0.0085470085470085,0.0132345156167284,validation_and_sensitivity_only_not_primary_load_weight
LC_156140400,14,Shanxi,山西,长治,156140400,113.02989778178431,36.31692725390324,0.0486465218441389,246.51460819495637,observed_2022_city_table,urban_population_weighted_county_centroids,city_337_urban_population_weighted_centroid,2022_city_electricity; 296_observed_41_imputed_by_province_power_per_urban_population,production_default_city_337,0.0486465218441389,0.0485325680495408,13941.781162397338,12,1796139.0,3180884.0,2022,county urban population field; source year follows local population shapefile metadata,4.0,11.090909090909092,1000.0,2.869073867540312,7.955159359998139,0.0341880341880341,0.0645844362096347,validation_and_sensitivity_only_not_primary_load_weight
LC_156140500,14,Shanxi,山西,晋城,156140500,112.79485174754709,35.57381938472236,0.043940931922516,222.66919002566576,observed_2022_city_table,urban_population_weighted_county_centroids,city_337_urban_population_weighted_centroid,2022_city_electricity; 296_observed_41_imputed_by_province_power_per_urban_population,production_default_city_337,0.043940931922516,0.0438669205656053,9418.607762784422,6,1376521.0,2194545.0,2022,county urban population field; source year follows local population shapefile metadata,23.0,28.090909090909093,500.0,24.41974501887582,29.824905971670468,0.1965811965811965,0.1635786130227633,validation_and_sensitivity_only_not_primary_load_weight
LC_156140600,14,Shanxi,山西,朔州,156140600,112.72096623351248,39.5361998464003,0.0371049019051827,188.02783854875835,observed_2022_city_table,urban_population_weighted_county_centroids,city_337_urban_population_weighted_centroid,2022_city_electricity; 296_observed_41_imputed_by_province_power_per_urban_population,production_default_city_337,0.0371049019051827,0.0371692587097985,10657.141876480153,6,929229.0,1521700.0,2022,county urban population field; source year follows local population shapefile metadata,23.0,33.0,1000.0,21.581771422936576,30.96515030247422,0.1965811965811965,0.1921651667548967,validation_and_sensitivity_only_not_primary_load_weight
LC_156140700,14,Shanxi,山西,晋中,156140700,112.63291578245868,37.3587147513137,0.0507126286043778,256.9845344955681,observed_2022_city_table,urban_population_weighted_county_centroids,city_337_urban_population_weighted_centroid,2022_city_electricity; 296_observed_41_imputed_by_province_power_per_urban_population,production_default_city_337,0.0507126286043778,0.0506108334491824,16405.994825760623,11,2027808.0,3379498.0,2022,county urban population field; source year follows local population shapefile metadata,6.0,18.181818181818183,1000.0,3.6571997393165248,11.082423452474318,0.0512820512820512,0.1058761249338274,validation_and_sensitivity_only_not_primary_load_weight
