load_center_id,connected_substation_count,active_substation_count,connected_vre_nameplate_gw,existing_dpv_local_gw,simultaneous_nameplate_interface_capacity_gw,province_code,province_name_en,province_name_zh,city_name_zh,lon,lat,annual_demand_share_in_province,initial_capacity_method
LC_156110000,48.0,12.0,0.41775168,2.000338496,0.41775168,11,Beijing,北京,北京,116.36795220903856,39.9654826614786,1.0,simultaneous_2025_nameplate_stress_city337_route
LC_156120000,76.0,12.0,6.853027466,4.4772607849999995,6.853027466,12,Tianjin,天津,天津,117.27904058308948,39.128935998908695,1.0,simultaneous_2025_nameplate_stress_city337_route
LC_156130100,11.0,7.0,4.538890014,0.35118042599999977,4.538890014,13,Hebei,河北,石家庄,114.57378817695226,38.06675145712464,0.1214223407724374,simultaneous_2025_nameplate_stress_city337_route
LC_156130200,30.0,8.0,3.240835437,0.117331673,3.240835437,13,Hebei,河北,唐山,118.27495798784022,39.72014804389376,0.1174016734992717,simultaneous_2025_nameplate_stress_city337_route
LC_156130300,5.0,3.0,0.762,0.032151923,0.762,13,Hebei,河北,秦皇岛,119.42879253660148,40.00108938525901,0.1938146009427676,simultaneous_2025_nameplate_stress_city337_route
LC_156130400,3.0,3.0,1.766568172,0.2853650099999999,1.766568172,13,Hebei,河北,邯郸,114.5809765859598,36.55075902312293,0.0990705583623563,simultaneous_2025_nameplate_stress_city337_route
LC_156130500,3.0,2.0,2.9326813639999996,0.14075496399999998,2.9326813639999996,13,Hebei,河北,邢台,114.7978064038358,37.17553144260391,0.078126157661492,simultaneous_2025_nameplate_stress_city337_route
LC_156130600,38.0,10.0,4.4924426209999995,0.5635349099999999,4.4924426209999995,13,Hebei,河北,保定,115.44365144605536,38.91424203534381,0.0977409340716885,simultaneous_2025_nameplate_stress_city337_route
LC_156130700,70.0,26.0,44.968304988999996,25.279458939,44.968304988999996,13,Hebei,河北,张家口,114.9797919688946,40.6623843754406,0.0465645631507392,simultaneous_2025_nameplate_stress_city337_route
LC_156130800,40.0,14.0,11.748267071999999,0.7268411589999999,11.748267071999999,13,Hebei,河北,承德,117.85503034599331,41.07599825770102,0.0471103972000645,simultaneous_2025_nameplate_stress_city337_route
