year,coal_without_ccs_floor_gw,coal_with_ccs_floor_gw,gas_without_ccs_floor_gw,gas_with_ccs_floor_gw,bio_and_beccs_floor_gw,thermal_excluding_nuclear_floor_gw,nuclear_floor_gw,nuclear_upper_gw,battery_floor_gw,phs_floor_gw,phs_upper_gw,policy_nuclear_2030_gw,policy_phs_2030_gw,policy_new_storage_2030_gw
2025,1227.16680000,11.85500000,179.02804000,0.70000000,35.49100000,1454.24084000,60.89800000,,,,,,,
2030,1213.27180000,11.85500000,179.02804000,0.70000000,35.49100000,1440.34584000,106.76400000,110.00000000,65.85000000,65.94000000,249.19100000,110.00000000,160.00000000,300.00000000
2040,1129.19600000,11.85500000,177.71704000,0.70000000,35.49100000,1354.95904000,146.30800000,205.00000000,0.00000000,65.94000000,514.75500000,,,
2050,694.06480000,5.00000000,147.44814000,0.70000000,33.91650000,881.12944000,185.81200000,300.00000000,0.00000000,65.94000000,514.75500000,,,
2060,214.01700000,4.00000000,77.58664000,0.00000000,15.05400000,310.65764000,185.81200000,300.00000000,0.00000000,65.94000000,514.75500000,,,
